date,currency,rate_to_cny
1996-02-15,USD,8.2583
1996-03-15,USD,8.2667
1996-04-15,USD,8.275
1996-05-15,USD,8.2833
1996-06-15,USD,8.2917
1996-07-15,USD,8.3
1996-08-15,USD,8.3083
1996-09-15,USD,8.3167
1996-10-15,USD,8.325
1996-11-15,USD,8.3333
1996-12-15,USD,8.3417
1997-01-15,USD,8.277
1997-02-15,USD,8.277
1997-03-15,USD,8.277
1997-04-15,USD,8.277
1997-05-15,USD,8.277
1997-06-15,USD,8.277
1997-07-15,USD,8.277
1997-08-15,USD,8.277
1997-09-15,USD,8.277
1997-10-15,USD,8.277
1997-11-15,USD,8.277
1997-12-15,USD,8.277
1998-01-15,USD,8.277
1998-02-15,USD,8.277
1998-03-15,USD,8.277
1998-04-15,USD,8.277
1998-05-15,USD,8.277
1998-06-15,USD,8.277
1998-07-15,USD,8.277
1998-08-15,USD,8.277
1998-09-15,USD,8.277
1998-10-15,USD,8.277
1998-11-15,USD,8.277
1998-12-15,USD,8.277
1999-01-15,USD,8.277
1999-02-15,USD,8.277
1999-03-15,USD,8.277
1999-04-15,USD,8.277
1999-05-15,USD,8.277
1999-06-15,USD,8.277
1999-07-15,USD,8.277
1999-08-15,USD,8.277
1999-09-15,USD,8.277
1999-10-15,USD,8.277
1999-11-15,USD,8.277
1999-12-15,USD,8.277
2000-01-15,USD,8.277
2000-02-15,USD,8.277
2000-03-15,USD,8.277
2000-04-15,USD,8.277
2000-05-15,USD,8.277
2000-06-15,USD,8.277
2000-07-15,USD,8.277
2000-08-15,USD,8.277
2000-09-15,USD,8.277
2000-10-15,USD,8.277
2000-11-15,USD,8.277
2000-12-15,USD,8.277
2001-01-15,USD,8.277
2001-02-15,USD,8.277
2001-03-15,USD,8.277
2001-04-15,USD,8.277
2001-05-15,USD,8.277
2001-06-15,USD,8.277
2001-07-15,USD,8.277
2001-08-15,USD,8.277
2001-09-15,USD,8.277
2001-10-15,USD,8.277
2001-11-15,USD,8.277
2001-12-15,USD,8.277
2002-01-15,USD,8.277
2002-02-15,USD,8.277
2002-03-15,USD,8.277
2002-04-15,USD,8.277
2002-05-15,USD,8.277
2002-06-15,USD,8.277
2002-07-15,USD,8.277
2002-08-15,USD,8.277
2002-09-15,USD,8.277
2002-10-15,USD,8.277
2002-11-15,USD,8.277
2002-12-15,USD,8.277
2003-01-15,USD,8.277
2003-02-15,USD,8.277
2003-03-15,USD,8.277
2003-04-15,USD,8.277
2003-05-15,USD,8.277
2003-06-15,USD,8.277
2003-07-15,USD,8.277
2003-08-15,USD,8.277
2003-09-15,USD,8.277
2003-10-15,USD,8.277
2003-11-15,USD,8.277
2003-12-15,USD,8.277
2004-01-15,USD,8.277
2004-02-15,USD,8.277
2004-03-15,USD,8.277
2004-04-15,USD,8.277
2004-05-15,USD,8.277
2004-06-15,USD,8.277
2004-07-15,USD,8.277
2004-08-15,USD,8.277
2004-09-15,USD,8.277
2004-10-15,USD,8.277
2004-11-15,USD,8.277
2004-12-15,USD,8.277
2005-01-15,USD,8.277
2005-02-15,USD,8.277
2005-03-15,USD,8.277
2005-04-15,USD,8.277
2005-05-15,USD,8.277
2005-06-15,USD,8.277
2005-07-15,USD,8.277
2005-08-15,USD,8.2628
2005-09-15,USD,8.2457
2005-10-15,USD,8.2285
2005-11-15,USD,8.2113
2005-12-15,USD,8.1942
2006-01-15,USD,8.177
2006-02-15,USD,8.1598
2006-03-15,USD,8.1427
2006-04-15,USD,8.1255
2006-05-15,USD,8.1083
2006-06-15,USD,8.0912
2006-07-15,USD,8.074
2006-08-15,USD,8.0568
2006-09-15,USD,8.0397
2006-10-15,USD,8.0225
2006-11-15,USD,8.0053
2006-12-15,USD,7.9882
2007-01-15,USD,7.971
2007-02-15,USD,7.9538
2007-03-15,USD,7.9367
2007-04-15,USD,7.9195
2007-05-15,USD,7.9023
2007-06-15,USD,7.8852
2007-07-15,USD,7.868
2007-08-15,USD,7.8508
2007-09-15,USD,7.8337
2007-10-15,USD,7.8165
2007-11-15,USD,7.7993
2007-12-15,USD,7.7822
2008-01-15,USD,7.765
2008-02-15,USD,7.7478
2008-03-15,USD,7.7307
2008-04-15,USD,7.7135
2008-05-15,USD,7.6963
2008-06-15,USD,7.6792
2008-07-15,USD,7.662
2008-08-15,USD,7.6448
2008-09-15,USD,7.6277
2008-10-15,USD,7.6105
2008-11-15,USD,7.5933
2008-12-15,USD,7.5762
2009-01-15,USD,7.559
2009-02-15,USD,7.5418
2009-03-15,USD,7.5247
2009-04-15,USD,7.5075
2009-05-15,USD,7.4903
2009-06-15,USD,7.4732
2009-07-15,USD,7.456
2009-08-15,USD,7.4388
2009-09-15,USD,7.4217
2009-10-15,USD,7.4045
2009-11-15,USD,7.3873
2009-12-15,USD,7.3702
2010-01-15,USD,7.353
2010-02-15,USD,7.3358
2010-03-15,USD,7.3187
2010-04-15,USD,7.3015
2010-05-15,USD,7.2843
2010-06-15,USD,7.2672
2010-07-15,USD,7.25
2010-08-15,USD,7.2328
2010-09-15,USD,7.2157
2010-10-15,USD,7.1985
2010-11-15,USD,7.1813
2010-12-15,USD,7.1642
2011-01-15,USD,7.147
2011-02-15,USD,7.1298
2011-03-15,USD,7.1127
2011-04-15,USD,7.0955
2011-05-15,USD,7.0783
2011-06-15,USD,7.0612
2011-07-15,USD,7.044
2011-08-15,USD,7.0268
2011-09-15,USD,7.0097
2011-10-15,USD,6.9925
2011-11-15,USD,6.9753
2011-12-15,USD,6.9582
2012-01-15,USD,6.941
2012-02-15,USD,6.9238
2012-03-15,USD,6.9067
2012-04-15,USD,6.8895
2012-05-15,USD,6.8723
2012-06-15,USD,6.8552
2012-07-15,USD,6.838
2012-08-15,USD,6.8208
2012-09-15,USD,6.8037
2012-10-15,USD,6.7865
2012-11-15,USD,6.7693
2012-12-15,USD,6.7522
2013-01-15,USD,6.735
2013-02-15,USD,6.7178
2013-03-15,USD,6.7007
2013-04-15,USD,6.6835
2013-05-15,USD,6.6663
2013-06-15,USD,6.6492
2013-07-15,USD,6.632
2013-08-15,USD,6.6148
2013-09-15,USD,6.5977
2013-10-15,USD,6.5805
2013-11-15,USD,6.5633
2013-12-15,USD,6.5462
2014-01-15,USD,6.529
2014-02-15,USD,6.5118
2014-03-15,USD,6.4947
2014-04-15,USD,6.4775
2014-05-15,USD,6.4603
2014-06-15,USD,6.4432
2014-07-15,USD,6.426
2014-08-15,USD,6.4088
2014-09-15,USD,6.3917
2014-10-15,USD,6.3745
2014-11-15,USD,6.3573
2014-12-15,USD,6.3402
2015-01-15,USD,6.323
2015-02-15,USD,6.3058
2015-03-15,USD,6.2887
2015-04-15,USD,6.2715
2015-05-15,USD,6.2543
2015-06-15,USD,6.2372
2015-07-15,USD,6.22
2015-08-15,USD,6.64
2015-09-15,USD,6.64
2015-10-15,USD,6.64
2015-11-15,USD,6.64
2015-12-15,USD,6.64
2016-01-15,USD,6.64
2016-02-15,USD,6.64
2016-03-15,USD,6.64
2016-04-15,USD,6.64
2016-05-15,USD,6.64
2016-06-15,USD,6.64
2016-07-15,USD,6.64
2016-08-15,USD,6.75
2016-09-15,USD,6.75
2016-10-15,USD,6.75
2016-11-15,USD,6.75
2016-12-15,USD,6.75
2017-01-15,USD,6.75
2017-02-15,USD,6.75
2017-03-15,USD,6.75
2017-04-15,USD,6.75
2017-05-15,USD,6.75
2017-06-15,USD,6.75
2017-07-15,USD,6.75
2017-08-15,USD,6.62
2017-09-15,USD,6.62
2017-10-15,USD,6.62
2017-11-15,USD,6.62
2017-12-15,USD,6.62
2018-01-15,USD,6.62
2018-02-15,USD,6.62
2018-03-15,USD,6.62
2018-04-15,USD,6.62
2018-05-15,USD,6.62
2018-06-15,USD,6.62
2018-07-15,USD,6.62
2018-08-15,USD,6.85
2018-09-15,USD,6.85
2018-10-15,USD,6.85
2018-11-15,USD,6.85
2018-12-15,USD,6.85
2019-01-15,USD,6.85
2019-02-15,USD,6.83
2019-03-15,USD,6.83
2019-04-15,USD,6.83
2019-05-15,USD,6.83
2019-06-15,USD,6.83
2019-07-15,USD,6.83
2019-08-15,USD,7.02
2019-09-15,USD,7.02
2019-10-15,USD,7.02
2019-11-15,USD,7.02
2019-12-15,USD,7.02
2020-01-15,USD,7.02
2020-02-15,USD,7.05
2020-03-15,USD,7.05
2020-04-15,USD,7.05
2020-05-15,USD,7.05
2020-06-15,USD,7.05
2020-07-15,USD,7.05
2020-08-15,USD,6.55
2020-09-15,USD,6.55
2020-10-15,USD,6.55
2020-11-15,USD,6.55
2020-12-15,USD,6.55
2021-01-15,USD,6.55
2021-02-15,USD,6.47
2021-03-15,USD,6.47
2021-04-15,USD,6.47
2021-05-15,USD,6.47
2021-06-15,USD,6.47
2021-07-15,USD,6.47
2021-08-15,USD,6.37
2021-09-15,USD,6.37
2021-10-15,USD,6.37
2021-11-15,USD,6.37
2021-12-15,USD,6.37
2022-01-15,USD,6.37
2022-02-15,USD,6.55
2022-03-15,USD,6.55
2022-04-15,USD,6.55
2022-05-15,USD,6.55
2022-06-15,USD,6.55
2022-07-15,USD,6.55
2022-08-15,USD,6.98
2022-09-15,USD,6.98
2022-10-15,USD,6.98
2022-11-15,USD,6.98
2022-12-15,USD,6.98
2023-01-15,USD,6.98
2023-02-15,USD,7.1
2023-03-15,USD,7.1
2023-04-15,USD,7.1
2023-05-15,USD,7.1
2023-06-15,USD,7.1
2023-07-15,USD,7.1
2023-08-15,USD,7.2
2023-09-15,USD,7.2
2023-10-15,USD,7.2
2023-11-15,USD,7.2
2023-12-15,USD,7.2
2024-01-15,USD,7.2
2024-02-15,USD,7.25
2024-03-15,USD,7.25
2024-04-15,USD,7.25
2024-05-15,USD,7.25
2024-06-15,USD,7.25
2024-07-15,USD,7.25
2024-08-15,USD,7.28
2024-09-15,USD,7.28
2024-10-15,USD,7.28
2024-11-15,USD,7.28
2024-12-15,USD,7.28
2025-01-15,USD,7.28
2025-02-15,USD,7.18
2025-03-15,USD,7.18
2025-04-15,USD,7.18
2025-05-15,USD,7.18
2025-06-15,USD,7.18
2025-07-15,USD,7.18
2025-08-15,USD,7.2
2025-09-15,USD,7.2
2025-10-15,USD,7.2
2025-11-15,USD,7.2
2025-12-15,USD,7.2
2026-01-15,USD,7.2
2026-02-15,USD,7.2
2026-03-15,USD,7.2
2026-04-15,USD,7.2
2026-05-15,USD,7.2
